Date,1 MO,2 MO,3 MO,6 MO,12 MO,24 MO,36 MO,48 MO,60 MO,72 MO,84 MO,96 MO,108 MO,120 MO,240 MO,360 MO
3/31/2023,4.24,4.39,4.8,4.9,4.2418,3.7933,3.5796,3.4714,3.4163,3.3915,3.3858,3.3927,3.4082,3.4295,3.6992,3.8751
2/28/2023,4.65,4.81,4.88,5.17,5.1137,4.7729,4.4427,4.2428,4.1261,4.0564,4.0139,3.988,3.9728,3.9645,3.9982,4.0389
1/31/2023,4.58,4.64,4.7,4.8,4.6559,4.2041,3.904,3.7098,3.5895,3.5206,3.4871,3.4778,3.4845,3.5016,3.7308,3.7257
12/31/2022,4.12,4.41,4.42,4.76,4.7029,4.4321,4.2295,4.0825,3.9802,3.9137,3.8754,3.8589,3.8588,3.8708,4.1128,4.0305
11/30/2022,4.07,4.25,4.37,4.7,4.6594,4.3488,4.1147,3.9431,3.8221,3.7418,3.6937,3.6709,3.6674,3.6784,3.9726,3.9596
10/31/2022,3.73,4,4.22,4.57,4.621,4.5303,4.4006,4.3052,4.2426,4.2047,4.1846,4.1773,4.1793,4.1877,4.3651,4.4954
9/30/2022,2.79,3.2,3.33,3.92,4.2148,4.2861,4.2307,4.1396,4.0521,3.9823,3.9327,3.9011,3.8836,3.8767,3.9622,4.0264
8/31/2022,2.4,2.72,2.96,3.32,3.3947,3.4615,3.4367,3.3778,3.3149,3.262,3.2242,3.2022,3.1942,3.1975,3.43,3.6007
7/31/2022,2.22,2.28,2.41,2.91,2.9445,2.9042,2.8356,2.7674,2.7134,2.6785,2.6629,2.6645,2.6802,2.7069,3.1207,3.3915
6/30/2022,1.28,1.68,1.72,2.51,2.8657,2.9803,2.9872,2.9881,2.9956,3.0099,3.0291,3.0512,3.0747,3.0985,3.2756,3.3571
5/31/2022,0.73,0.89,1.16,1.64,2.067,2.5223,2.7241,2.8048,2.834,2.8463,2.8575,2.8736,2.8957,2.9229,3.2216,3.38
4/30/2022,0.37,0.73,0.85,1.41,2.1414,2.7184,2.8933,2.9324,2.9325,2.9268,2.925,2.9285,2.9365,2.9477,3.0766,3.1479
3/31/2022,0.17,0.35,0.52,1.06,1.7244,2.3166,2.4844,2.4899,2.4479,2.4043,2.374,2.3591,2.3569,2.364,2.5231,2.6088
2/28/2022,0.06,0.2,0.35,0.69,1.0733,1.4607,1.6326,1.7073,1.744,1.7701,1.7969,1.8281,1.8634,1.9016,2.229,2.3832
1/31/2022,0.03,0.13,0.22,0.49,0.8,1.1794,1.4037,1.5417,1.6325,1.6979,1.7499,1.7946,1.8351,1.8728,2.1381,2.2608
12/31/2021,0.06,0.05,0.06,0.19,0.4226,0.7551,0.986,1.1499,1.2699,1.3612,1.4335,1.4934,1.545,1.5907,1.9016,2.065
